long,lat,ndvi,mdbi,elevation,lst
82.95900306,25.33350704,0.331832,-0.491238,82,32.01352026
82.95930099,25.33350307,0.215443,-0.524814,82,32.36835548
82.95959892,25.33349911,0.177456,-0.537487,81,32.54880209
82.95989685,25.33349515,0.235215,-0.529626,82,32.57442123
82.96019478,25.33349118,0.271205,-0.481921,83,32.47863827
82.96049271,25.33348722,0.287452,-0.481914,83,32.15141829
82.96079064,25.33348325,0.27127,-0.47536,82,31.71320685
82.96108857,25.33347928,0.254709,-0.472948,80,31.44609609
82.9613865,25.33347532,0.286346,-0.468519,79,31.50807136
82.96168443,25.33347135,0.32535,-0.485666,79,31.72776406
82.96198236,25.33346738,0.300528,-0.480662,81,32.04264067
82.96228029,25.33346341,0.273058,-0.475065,81,32.39586936
82.96257822,25.33345944,0.185699,-0.467402,80,32.76214878
82.96287614,25.33345547,0.160526,-0.463138,80,33.03362771
82.96317407,25.3334515,0.219147,-0.487896,79,33.18472664
82.963472,25.33344753,0.298568,-0.516313,78,33.36737213
82.96376993,25.33344356,0.235237,-0.477113,79,33.57678587
82.96406786,25.33343958,0.215412,-0.490115,80,33.77746756
82.96436579,25.33343561,0.182584,-0.477096,79,34.0108945
82.96466372,25.33343164,0.128083,-0.454429,80,34.25448511
82.96496165,25.33342766,0.163833,-0.447486,81,34.47954372
82.96525958,25.33342369,0.119279,-0.429409,81,34.66678176
82.96555751,25.33341971,0.129709,-0.452568,80,34.62947964
82.96585544,25.33341573,0.153851,-0.475335,78,34.42147273
82.96615336,25.33341176,0.124527,-0.445946,80,34.01079826
82.96645129,25.33340778,0.23956,-0.479541,82,33.31300692
82.96674922,25.3334038,0.298045,-0.47589,81,32.46722193
82.9589987,25.33323628,0.319789,-0.503394,80,32.12395164
82.95929663,25.33323231,0.276227,-0.517266,80,32.44443751
82.95959456,25.33322835,0.229762,-0.531243,80,32.70226098
82.95989249,25.33322439,0.222966,-0.544678,82,32.78856871
82.96019041,25.33322042,0.237395,-0.505926,82,32.68485785
82.96048834,25.33321646,0.25974,-0.470399,82,32.37475883
82.96078627,25.33321249,0.275631,-0.482544,83,31.98064812
82.9610842,25.33320852,0.271025,-0.483655,83,31.70971327
82.96138213,25.33320456,0.265812,-0.472026,82,31.62204361
82.96168006,25.33320059,0.334521,-0.494128,80,31.67256489
82.96197799,25.33319662,0.292604,-0.476317,79,31.88312101
82.96227592,25.33319265,0.256926,-0.463997,81,32.21781349
82.96257385,25.33318868,0.249249,-0.470713,81,32.63530279
82.96287178,25.33318471,0.186199,-0.479052,82,32.99944465
82.9631697,25.33318074,0.22871,-0.508941,82,33.21420194
82.96346763,25.33317677,0.270283,-0.500649,81,33.39941738
82.96376556,25.3331728,0.201457,-0.473691,80,33.63018663
82.96406349,25.33316882,0.233806,-0.486008,80,33.77881265
82.96436142,25.33316485,0.228475,-0.479076,80,34.02136222
82.96465935,25.33316088,0.138895,-0.449173,81,34.2735149
82.96495728,25.3331569,0.205079,-0.468198,80,34.50437509
82.9652552,25.33315293,0.127296,-0.43311,80,34.72527283
82.96555313,25.33314895,0.128462,-0.445758,80,34.7309453
82.96585106,25.33314497,0.127934,-0.456681,80,34.54402213
82.96614899,25.333141,0.132782,-0.441927,80,34.13026736
82.96644692,25.33313702,0.263209,-0.48329,81,33.32721132
82.96674484,25.33313304,0.301074,-0.470665,83,32.39300652
82.96704277,25.33312906,0.304305,-0.487999,84,31.57794802
82.9673407,25.33312508,0.335012,-0.51691,82,31.02597308
82.96763863,25.3331211,0.353724,-0.49588,79,30.5865402
82.96793655,25.33311712,0.370233,-0.489423,79,30.28247998
82.96823448,25.33311314,0.372091,-0.491826,80,30.23187902
82.96853241,25.33310916,0.350915,-0.480686,79,30.429329
82.96883034,25.33310518,0.348304,-0.479374,78,30.76332713
82.96912826,25.3331012,0.361973,-0.491119,79,31.1719755
82.96942619,25.33309721,0.364144,-0.483814,82,31.6737602
82.96972412,25.33309323,0.32049,-0.476891,82,32.2470616
82.97002205,25.33308924,0.265314,-0.475366,82,32.69351241
82.97031997,25.33308526,0.261344,-0.467539,82,32.85339672
82.9706179,25.33308127,0.28894,-0.475568,82,32.45961994
82.97091583,25.33307729,0.315908,-0.481358,83,31.8958394
82.97121375,25.3330733,0.315517,-0.464117,84,31.65950214
82.97151168,25.33306931,0.322391,-0.479828,85,31.71462461
82.97180961,25.33306532,0.29708,-0.473177,81,31.77632253
82.97210754,25.33306133,0.321807,-0.484457,79,31.80548296
82.97240546,25.33305734,0.343593,-0.4864,78,31.80257093
82.97270339,25.33305335,0.317383,-0.516352,79,31.84500318
82.97300132,25.33304936,0.323006,-0.499708,82,31.8330574
82.97329924,25.33304537,0.392856,-0.503078,83,31.7961161
82.97359717,25.33304138,0.373737,-0.519724,84,31.85488993
82.97389509,25.33303739,0.265312,-0.488607,84,31.9542596
82.97419302,25.33303339,0.300603,-0.50323,82,32.0086733
82.97449095,25.3330294,0.337327,-0.525999,80,32.24709342
82.97478887,25.33302541,0.308255,-0.518874,80,32.70390692
82.9750868,25.33302141,0.238893,-0.518585,81,33.06342193
82.97538473,25.33301742,0.243953,-0.498159,83,33.11985062
82.97568265,25.33301342,0.292562,-0.538958,82,33.06341068
82.97598058,25.33300942,0.203126,-0.539189,81,33.02876666
82.9762785,25.33300543,0.201647,-0.487836,80,32.99016522
82.97657643,25.33300143,0.248459,-0.444628,82,32.95483297
82.97687435,25.33299743,0.33361,-0.500314,84,32.94170612
82.97717228,25.33299343,0.315535,-0.485958,85,32.96049896
82.97747021,25.33298943,0.318392,-0.497417,84,32.9892618
82.97776813,25.33298543,0.299743,-0.475366,84,33.09340343
82.97806606,25.33298143,0.282668,-0.474573,83,33.15201545
82.97836398,25.33297743,0.260228,-0.466402,85,33.16724721
82.97866191,25.33297343,0.258275,-0.457808,86,33.05506049
82.97895983,25.33296942,0.267588,-0.470468,84,32.88113356
82.95899434,25.33296551,0.232633,-0.480167,83,32.22061887
82.95929227,25.33296155,0.275788,-0.496799,83,32.46227648
82.95959019,25.33295759,0.284044,-0.499457,83,32.74008588
82.95988812,25.33295362,0.213977,-0.529735,83,32.95056728
82.96018605,25.33294966,0.17601,-0.526197,79,32.8537276
